"Variable","Correlation"
"Cranial Bones Half A",0.687816019870407
"Cranial Bones Half B",0.91491194007488
"Long Bones Half A",0.0281289501326754
"Long Bones Half B",-0.203128335634694
"Spongy Bone Half A",0.689962187532759
"Spongy Bone Half B",0.579879564498646
"Upper Limbs Half A",0.535889092928016
"Upper Limbs Half B",0.071360725763114
"Lower Limbs Half A",0.340554015818407
"Lower Limbs Half B",0.708201247557921
"Trunk Half A",0.277919143055416
"Trunk Half B",0.573031935352767
