"Variable","Correlation"
"Cranial Bones Half C",0.829561835375732
"Cranial Bones Half D",0.896396805612634
"Long Bones Half C",0.000558720196952392
"Long Bones Half D",-0.344767320177954
"Spongy Bone Half C",0.582032693948752
"Spongy Bone Half D",0.715872626157362
"Upper Limbs Half C",0.377909389585725
"Upper Limbs Half D",NA
"Lower Limbs Half C",0.46397162301873
"Lower Limbs Half D",0.367340754327558
"Trunk Half C",0.45924398664911
"Trunk Half D",0.631642926921365
