burial,section,method,element,area3d_tot_element,tot_section,percentage,element_perc
26,half_B,physical,SB,100,460,21.73913043,62.5
26,half_B,virtual,UL,130.9915,37225.41598,0.35188727,100
26,half_B,physical,UL,9,460,1.956521739,50
26,half_B,virtual,LL,2870.254,37225.41598,7.710468572,31.35062236
26,half_B,physical,LL,23,460,5,54.76190476
26,half_B,virtual,T,405.942,37225.41598,1.09049688,58.1407373
26,half_B,physical,T,44,460,9.565217391,45.36082474
26,half_B,virtual,TOT,37225.41598,37225.41598,100,46.81803193
26,half_B,physical,TOT,460,460,100,54.50236967
26,half_C,virtual,CB,8230.9202,37171.4576,22.14311929,41.39157439
26,half_C,physical,CB,117,360,32.5,45
26,half_C,virtual,LB,11203.68,37171.4576,30.14054526,53.48962451
26,half_C,physical,LB,115,360,31.94444444,43.07116105
26,half_C,virtual,SB,15336.61,37171.4576,41.25910306,53.44641005
26,half_C,physical,SB,57,360,15.83333333,35.625
26,half_C,virtual,UL,130.9915,37171.4576,0.352398072,100
26,half_C,physical,UL,8,360,2.222222222,44.44444444
26,half_C,virtual,LL,2236.144,37171.4576,6.015755487,24.42449556
26,half_C,physical,LL,16,360,4.444444444,38.0952381
26,half_C,virtual,T,33.1119,37171.4576,0.089078831,4.742426946
26,half_C,physical,T,47,360,13.05555556,48.45360825
26,half_C,virtual,TOT,37171.4576,37171.4576,100,46.75016901
26,half_C,physical,TOT,360,360,100,42.65402844
26,half_D,virtual,CB,11692.1146,42506.1992,27.50684564,58.79719636
26,half_D,physical,CB,143,484,29.54545455,55
26,half_D,virtual,LB,9803.49,42506.1992,23.06367115,46.80471051
26,half_D,physical,LB,152,484,31.40495868,56.92883895
26,half_D,virtual,SB,13397.8943,42506.1992,31.51985958,46.69019767
26,half_D,physical,SB,103,484,21.28099174,64.375
26,half_D,virtual,UL,0,42506.1992,0,0
26,half_D,physical,UL,10,484,2.066115702,55.55555556
26,half_D,virtual,LL,6947.6064,42506.1992,16.34492505,75.88589182
26,half_D,physical,LL,26,484,5.371900826,61.9047619
26,half_D,virtual,T,665.0939,42506.1992,1.564698591,95.25757305
26,half_D,physical,T,50,484,10.33057851,51.54639175
26,half_D,virtual,TOT,42506.1992,42506.1992,100,53.45961996
26,half_D,physical,TOT,484,484,100,57.34597156
29,total,virtual,CB,1290.885,2969.815,43.46684895,NA
29,total,physical,CB,262,416,62.98076923,NA
29,total,virtual,LB,1678.93,2969.815,56.53315105,NA
29,total,physical,LB,91,416,21.875,NA
29,total,virtual,SB,0,2969.815,0,NA
29,total,physical,SB,22,416,5.288461538,NA
29,total,virtual,UL,0,2969.815,0,NA
29,total,physical,UL,0,416,0,NA
29,total,virtual,LL,0,2969.815,0,NA
29,total,physical,LL,0,416,0,NA
29,total,virtual,T,0,2969.815,0,NA
29,total,physical,T,41,416,9.855769231,NA
29,total,virtual,TOT,2969.815,2969.815,100,NA
29,total,physical,TOT,416,416,100,NA
29,upper,virtual,CB,218.2595,510.971,42.71465504,16.90774159
29,upper,physical,CB,67,86,77.90697674,25.57251908
29,upper,virtual,LB,292.7115,510.971,57.28534496,17.43440763
29,upper,physical,LB,14,86,16.27906977,15.38461538
29,upper,virtual,SB,0,510.971,0,NA
29,upper,physical,SB,2,86,2.325581395,9.090909091
29,upper,virtual,UL,0,510.971,0,NA
29,upper,physical,UL,0,86,0,NA
29,upper,virtual,LL,0,510.971,0,NA
29,upper,physical,LL,0,86,0,NA
29,upper,virtual,T,0,510.971,0,NA
29,upper,physical,T,3,86,3.488372093,7.317073171
29,upper,virtual,TOT,510.971,510.971,100,17.2054825
29,upper,physical,TOT,86,86,100,20.67307692
29,central,virtual,CB,578.542,851.0767,67.97765701,44.81747019
29,central,physical,CB,88,148,59.45945946,33.58778626
29,central,virtual,LB,272.5347,851.0767,32.02234299,16.23264222
29,central,physical,LB,39,148,26.35135135,42.85714286
29,central,virtual,SB,0,851.0767,0,NA
29,central,physical,SB,12,148,8.108108108,54.54545455
29,central,virtual,UL,0,851.0767,0,NA
29,central,physical,UL,0,148,0,NA
29,central,virtual,LL,0,851.0767,0,NA
29,central,physical,LL,0,148,0,NA
29,central,virtual,T,0,851.0767,0,NA
29,central,physical,T,9,148,6.081081081,21.95121951
29,central,virtual,TOT,851.0767,851.0767,100,28.65756621
29,central,physical,TOT,148,148,100,35.57692308
29,lower,virtual,CB,494.585,1608.958,30.73945995,38.31363754
29,lower,physical,CB,107,182,58.79120879,40.83969466
29,lower,virtual,LB,1114.373,1608.958,69.26054005,66.37400011
29,lower,physical,LB,38,182,20.87912088,41.75824176
29,lower,virtual,SB,0,1608.958,0,NA
29,lower,physical,SB,8,182,4.395604396,36.36363636
29,lower,virtual,UL,0,1608.958,0,NA
29,lower,physical,UL,0,182,0,NA
29,lower,virtual,LL,0,1608.958,0,NA
29,lower,physical,LL,0,182,0,NA
29,lower,virtual,T,0,1608.958,0,NA
29,lower,physical,T,29,182,15.93406593,70.73170732
29,lower,virtual,TOT,1608.958,1608.958,100,54.1770447
29,lower,physical,TOT,182,182,100,43.75
29,half_A,virtual,CB,488.413,1019.41,47.91134087,37.83551594
29,half_A,physical,CB,107,168,63.69047619,40.83969466
29,half_A,virtual,LB,530.997,1019.41,52.08865913,31.62710774
29,half_A,physical,LB,36,168,21.42857143,39.56043956
29,half_A,virtual,SB,0,1019.41,0,NA
29,half_A,physical,SB,4,168,2.380952381,18.18181818
29,half_A,virtual,UL,0,1019.41,0,NA
29,half_A,physical,UL,0,168,0,NA
29,half_A,virtual,LL,0,1019.41,0,NA
29,half_A,physical,LL,0,168,0,NA
29,half_A,virtual,T,0,1019.41,0,NA
29,half_A,physical,T,21,168,12.5,51.2195122
29,half_A,virtual,TOT,1019.41,1019.41,100,34.32570716
29,half_A,physical,TOT,168,168,100,40.38461538
29,half_B,virtual,CB,805.798,1952.14,41.27767476,62.42213675
29,half_B,physical,CB,155,248,62.5,59.16030534
29,half_B,virtual,LB,1146.342,1952.14,58.72232524,68.27812952
29,half_B,physical,LB,55,248,22.17741935,60.43956044
29,half_B,virtual,SB,0,1952.14,0,NA
29,half_B,physical,SB,18,248,7.258064516,81.81818182
29,half_B,virtual,UL,0,1952.14,0,NA
29,half_B,physical,UL,0,248,0,NA
29,half_B,virtual,LL,0,1952.14,0,NA
29,half_B,physical,LL,0,248,0,NA
29,half_B,virtual,T,0,1952.14,0,NA
29,half_B,physical,T,20,248,8.064516129,48.7804878
29,half_B,virtual,TOT,1952.14,1952.14,100,65.73271399
29,half_B,physical,TOT,248,248,100,59.61538462
29,half_C,virtual,CB,415.6264,1146.6294,36.24766642,32.19701213
29,half_C,physical,CB,138,215,64.18604651,52.67175573
29,half_C,virtual,LB,731.003,1146.6294,63.75233358,43.53981405
29,half_C,physical,LB,40,215,18.60465116,43.95604396
29,half_C,virtual,SB,0,1146.6294,0,NA
29,half_C,physical,SB,15,215,6.976744186,68.18181818
29,half_C,virtual,UL,0,1146.6294,0,NA
29,half_C,physical,UL,0,215,0,NA
29,half_C,virtual,LL,0,1146.6294,0,NA
29,half_C,physical,LL,0,215,0,NA
29,half_C,virtual,T,0,1146.6294,0,NA
29,half_C,physical,T,22,215,10.23255814,53.65853659
29,half_C,virtual,TOT,1146.6294,1146.6294,100,38.60945547
29,half_C,physical,TOT,215,215,100,51.68269231
29,half_D,virtual,CB,875.2588,1824.5858,47.97027358,67.80300337
29,half_D,physical,CB,124,201,61.69154229,47.32824427
29,half_D,virtual,LB,949.327,1824.5858,52.02972642,56.54357239
29,half_D,physical,LB,51,201,25.37313433,56.04395604
29,half_D,virtual,SB,0,1824.5858,0,NA
29,half_D,physical,SB,7,201,3.482587065,31.81818182
29,half_D,virtual,UL,0,1824.5858,0,NA
29,half_D,physical,UL,0,201,0,NA
29,half_D,virtual,LL,0,1824.5858,0,NA
29,half_D,physical,LL,0,201,0,NA
29,half_D,virtual,T,0,1824.5858,0,NA
29,half_D,physical,T,19,201,9.452736318,46.34146341
29,half_D,virtual,TOT,1824.5858,1824.5858,100,61.43769225
29,half_D,physical,TOT,201,201,100,48.31730769
30,total,virtual,CB,10083.6931,39198.4051,25.72475353,NA
